"","text","favoriteCount","created","statusSource","period"
"234"," I believe i Kane fly smile",0,"2022-12-11","Android",1
"235","    Thats just the point  no point once you fall behind  and who ",0,"2022-12-11","iPhone",1
"236","   Exactly",1,"2022-12-11","Web App",1
"237","  President Macron with the brown enevelopes",0,"2022-12-11","iPhone",1
"238","        Youd be better off ",0,"2022-12-11","Android",1
"239","After their  exit at the hands of   and yet another disappointment at a major tournam ",0,"2022-12-11","TweetDeck",1
"240","   For many years France football team was in this position playing well but ",0,"2022-12-11","iPhone",1
"241","  Young king crown",0,"2022-12-11","iPhone",1
"242","  OUR MIDFIELD BOYS ARE BOSSING THE ENTIRE WORLD MY GOD WERE SO BLESSED",0,"2022-12-11","Android",1
"243","  Congratulations",0,"2022-12-11","Android",1
"244","cocktailfeels good too wake up in the morning with the feeling of victory NotTheSharpSquenchingAgonyOfDefeat ",0,"2022-12-11","iPhone",1
"245","Fucking Griezman  What a stud  I love this team AllezLesBleus FiersdetreBleus fra ",1,"2022-12-11","Android",1
"246","  Morroco",0,"2022-12-11","Android",1
"247","  Did u play yesterday joy",0,"2022-12-11","iPhone",1
"248","  On your way ",1,"2022-12-11","iPhone",1
"249","  Brazil lost the cup because it had an incompetent coach called Tite",0,"2022-12-11","iPhone",1
"250"," Africa",0,"2022-12-11","Android",1
"251","Morocco   playing the  team would be an easy win because its more like playing an African allstars team",0,"2022-12-11","Android",1
"252","  avenge ronaldo you gotta do what you gotta do ",1,"2022-12-11","Android",1
"253","Incest party dong ",0,"2022-12-11","Android",1
"254","  Cry sun of pute",0,"2022-12-11","iPhone",1
"255","Team France firefirefire
 
 ",0,"2022-12-11","iPhone",1
"256","        ",0,"2022-12-11","iPhone",1
"257","  turtle",0,"2022-12-11","Web App",1
"258","  Youre unique",0,"2022-12-11","Web App",1
"259"," Free from desire ",0,"2022-12-11","iPhone",1
"260","Sports pic of the day  spurns a chance to score his second penalty of the night against  team ",0,"2022-12-11","Buffer",1
"261","  Make ur possition real Madrid we proud with u",0,"2022-12-11","Android",1
"262","      When are you taking sanction against Palestinia ",0,"2022-12-11","Web App",1
"263","  Opportunisme ",0,"2022-12-11","Android",1
"264","       Homme du match Giroud ",0,"2022-12-11","Web App",1
"265","  you are HIM you are THAT GUY",0,"2022-12-11","Android",1
"266","   England is written with a capital E Mike ",1,"2022-12-11","Android",1
"267","   Doesnt diminish what he has achieved in his illustrious career You need some am ",1,"2022-12-11","Android",1
"268"," Royce ",0,"2022-12-11","iPhone",1
"269"," We are the championsen anglais bien sur wink",0,"2022-12-11","Android",1
"270","   You are absolutely right Its a team game You can be the greatest player but wi ",0,"2022-12-11","Android",1
"271","It was a dreadful night

We learn amp move on
I hope  amp  award that referee the freedom of Fr ",0,"2022-12-11","iPhone",1
"272","   on s en tape",1,"2022-12-11","Web App",1
"273","  Africa is proud of you France is the real African team  Viva",0,"2022-12-11","Android",1
"274","      yeah i dont think you have seen the am ",0,"2022-12-11","Web App",1
"275","  Good luck with morocco",0,"2022-12-11","iPhone",1
"276","  Such a great focus ",0,"2022-12-11","Android",1
"277","   I personally dont think WC should make or break a champion but alright since I am an expert nowsunglasses",1,"2022-12-11","Web App",1
