"","text","favoriteCount","created","statusSource","period"
"162","  Argentina win",0,"2022-12-11","Android",1
"163","These Portuguese team are so fucking dumbwhat has their loss got to do with Argentina now ",1,"2022-12-11","iPhone",1
"164","Argentina  vs Croatia  
France  vs Morocco 
FRANCE since day 1 ",0,"2022-12-11","Android",1
"165","   Then well not win We need Croatia to smoke Argentina so we stand a chance",0,"2022-12-11","Android",1
"166"," As long as Argentina doesnt win im happy ",0,"2022-12-11","Android",1
"167"," Check history facts before asking yourselves why Argentina has no black players in its squad We ha ",0,"2022-12-11","Android",1
"168","Netherlands vs Argentina Highlights Messis Argentina beat Netherlands 43 on penalties to reach semis  Football ",0,"2022-12-11","Web App",1
"169","  Ofc but Argentina is going into that match as favourite and Croatias luck on penalities is bound to end someday",0,"2022-12-11","Android",1
"170"," That Would Only be a Yellow and his 1st Card so Keep crying he gave everybody cards so its even an ",1,"2022-12-11","Android",1
"171"," Add on disrepected Netherlands Goalkeeper too NEDvsARG NED Argentina",0,"2022-12-11","Web App",1
"172"," Dont worry about Argentina that way",0,"2022-12-11","Android",1
"173","It hurts a lot Van Dijk reflects on Netherlands penalty shootout defeat to Argentina

Read More ",0,"2022-12-11","Web App",1
"174"," I thought that final would be between argentina and Portugal but Morocco put water on our all expectations of final",0,"2022-12-11","Android",1
"175","Leo Messi Vs Netherlands 

4k Wallpapers

Messi  messi messi4k 4k 
FIFAWorldCup Argentina ",2,"2022-12-11","Web App",1
"176","Argentina to win the world cup",0,"2022-12-11","Android",1
"177"," I disagree The FranceEngland game was anticlimatic amp hardly worth the hype NetherlandsArgentina was top notch action fire",0,"2022-12-11","Android",1
"178","They cant play consecutive finals nande nande Lets go Argentina and Moroccoopenmouthdash1
FIFAWorldCupQatar2022",2,"2022-12-11","iPhone",1
"179","How good can this be as a script
France beating Morocco
Croatia beating Argentina

And well have France vs Croati ",0,"2022-12-11","Android",1
"180","This  worldcup has Argentina   written allover it",0,"2022-12-11","Android",1
"181","   I dived in the AFA Village presented by OneFootball check out my screens ",0,"2022-12-11","Web App",1
"182","  Bruno is being a cry baby they were not playing Argentina so there was no conflict of i ",0,"2022-12-11","iPhone",1
"183","",2,"2022-12-11","Android",1
"184","Id love a Croatia win but realistic is France or Argentina ",0,"2022-12-11","Android",1
"185","  Final Argentina  France winner Argentina",0,"2022-12-11","Android",1
